instruction,input,output
What is the International Space Station (ISS)?, ,"The International Space Station (ISS) is a multinational collaborative space station for scientific research, orbiting Earth."
What is the Hubble Space Telescope?, ,The Hubble Space Telescope is NASA's space telescope launched in 1990 to capture high-resolution images of space objects.
What is NASA's role in climate change research?, ,"NASA uses satellites to monitor Earth's climate, collect data on greenhouse gases, and study the global impacts of climate change."
What is NASA?, ,"NASA stands for National Aeronautics and Space Administration, a United States government agency responsible for space exploration, aeronautics, and aerospace research."
When was NASA founded?, ,"NASA was founded on July 29, 1958."
What does NASA do?, ,"NASA leads U.S. space exploration, conducts scientific research, and develops technology related to aeronautics and space."
Who is the current administrator of NASA?, ,"As of 2024, Bill Nelson is the Administrator of NASA."
What are NASA's main objectives?, ,"NASA's main objectives include human space exploration, scientific discovery, technological innovation, and advancing aeronautics."
What is the Artemis program?, ,The Artemis program is NASA's initiative to return humans to the Moon and establish a sustainable presence by 2024.
What was the Apollo program?, ,The Apollo program was NASA's mission that successfully landed humans on the Moon from 1969 to 1972.
What is the International Space Station (ISS)?, ,"The International Space Station (ISS) is a multinational collaborative space station for scientific research, orbiting Earth."
What is the Hubble Space Telescope?, ,The Hubble Space Telescope is NASA's space telescope launched in 1990 to capture high-resolution images of space objects.
What is NASA's role in climate change research?, ,"NASA uses satellites to monitor Earth's climate, collect data on greenhouse gases, and study the global impacts of climate change."
What is NASA?, ,"NASA stands for National Aeronautics and Space Administration, a United States government agency responsible for space exploration, aeronautics, and aerospace research."
When was NASA founded?, ,"NASA was founded on July 29, 1958."
What does NASA do?, ,"NASA leads U.S. space exploration, conducts scientific research, and develops technology related to aeronautics and space."
Who is the current administrator of NASA?, ,"As of 2024, Bill Nelson is the Administrator of NASA."
What are NASA's main objectives?, ,"NASA's main objectives include human space exploration, scientific discovery, technological innovation, and advancing aeronautics."
What is the Artemis program?, ,The Artemis program is NASA's initiative to return humans to the Moon and establish a sustainable presence by 2024.
What was the Apollo program?, ,The Apollo program was NASA's mission that successfully landed humans on the Moon from 1969 to 1972.
What is the International Space Station (ISS)?, ,"The International Space Station (ISS) is a multinational collaborative space station for scientific research, orbiting Earth."
What is the Hubble Space Telescope?, ,The Hubble Space Telescope is NASA's space telescope launched in 1990 to capture high-resolution images of space objects.
What is NASA's role in climate change research?, ,"NASA uses satellites to monitor Earth's climate, collect data on greenhouse gases, and study the global impacts of climate change."
What is NASA?, ,"NASA stands for National Aeronautics and Space Administration, a United States government agency responsible for space exploration, aeronautics, and aerospace research."
When was NASA founded?, ,"NASA was founded on July 29, 1958."
What does NASA do?, ,"NASA leads U.S. space exploration, conducts scientific research, and develops technology related to aeronautics and space."
Who is the current administrator of NASA?, ,"As of 2024, Bill Nelson is the Administrator of NASA."
What are NASA's main objectives?, ,"NASA's main objectives include human space exploration, scientific discovery, technological innovation, and advancing aeronautics."
What is the Artemis program?, ,The Artemis program is NASA's initiative to return humans to the Moon and establish a sustainable presence by 2024.
What was the Apollo program?, ,The Apollo program was NASA's mission that successfully landed humans on the Moon from 1969 to 1972.
What is the International Space Station (ISS)?, ,"The International Space Station (ISS) is a multinational collaborative space station for scientific research, orbiting Earth."
What is the Hubble Space Telescope?, ,The Hubble Space Telescope is NASA's space telescope launched in 1990 to capture high-resolution images of space objects.
What is NASA's role in climate change research?, ,"NASA uses satellites to monitor Earth's climate, collect data on greenhouse gases, and study the global impacts of climate change."
